PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,中古マンション等,,13103,東京都,港区,麻布台,100000000,,１ＬＤＫ,40,,,,,2014年,ＲＣ,住宅,住宅,,,,商業地域,80,500,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,東新橋,160000000,,２ＬＤＫ,65,,,,,2002年,ＲＣ,住宅,,,,,商業地域,80,600,2023年第1四半期,改装済み,
不動産取引価格情報,宅地(土地),住宅地,13103,東京都,港区,元麻布,540000000,6500000,,270,2000000,長方形,14.2,, ,,,住宅,南西,区道,5.4,第１種中高層住居専用地域,60,300,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,元麻布,310000000,,２ＬＤＫ,85,,,,, ,,,住宅,,,,,,,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,元麻布,2500000000,,,330,,ほぼ長方形,15.5,1100,2020年,ＲＣ,共同住宅,住宅,北東,区道,4.3,第１種中高層住居専用地域,60,300,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,元麻布,370000000,,２ＬＤＫ,105,,,,,2002年,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,300,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,元麻布,360000000,,２ＬＤＫ,95,,,,,2002年,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,300,2023年第1四半期,改装済み,
成約価格情報,中古マンション等,,13103,東京都,港区,麻布台,35000000,,１Ｒ,30,,,,,1979年,ＳＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,麻布台,100000000,,１ＬＤＫ,45,,,,,2014年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,110000000,,１ＬＤＫ,65,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,130000000,,１ＬＤＫ,70,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,200000000,,１ＬＤＫ,85,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,62000000,,１Ｒ,40,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,170000000,,３ＬＤＫ,90,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,200000000,,３ＬＤＫ,95,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,東新橋,93000000,,２ＬＤＫ,60,,,,,2002年,ＲＣ,,,,,,商業地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,元麻布,570000000,,３ＬＤＫ,190,,,,,2004年,ＲＣ,,,,,,第１種中高層住居専用地域,,,2023年第1四半期,,
成約価格情報,中古マンション等,,13103,東京都,港区,元麻布,210000000,,２ＬＤＫ,90,,,,,2012年,ＲＣ,,,,,,第１種中高層住居専用地域,,,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,海岸,29000000,,１Ｋ,25,,,,,2008年,ＲＣ,,住宅,,,,準工業地域,60,400,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,海岸,58000000,,１ＬＤＫ,50,,,,,2008年,ＲＣ,,住宅,,,,準工業地域,60,400,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,海岸,25000000,,１Ｋ,20,,,,,2004年,ＲＣ,住宅,その他,,,,準工業地域,60,400,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,海岸,71000000,,３ＬＤＫ,55,,,,,2011年,ＲＣ,,住宅,,,,準工業地域,60,400,2023年第1四半期,改装済み,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,白金,360000000,,,150,,ほぼ長方形,10.3,430,1987年,,住宅,住宅,北西,区道,8,近隣商業地域,80,400,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,110000000,,２ＬＤＫ,55,,,,,2013年,ＲＣ,住宅,住宅,,,,準工業地域,60,400,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,27000000,,１Ｋ,20,,,,,2005年,ＲＣ,住宅,住宅,,,,準工業地域,60,400,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,66000000,,１ＬＤＫ,50,,,,,2000年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,30000000,,１Ｋ,25,,,,,2004年,ＲＣ,住宅,住宅,,,,準工業地域,60,300,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,68000000,,１ＬＤＫ,35,,,,,2018年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,400,2023年第1四半期,未改装,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,29000000,,１Ｋ,20,,,,,2004年,ＲＣ,住宅,住宅,,,,,,,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,白金,190000000,,,110,,ほぼ正方形,10,300,1989年,鉄骨造,共同住宅、店舗,,北東,区道,4.8,近隣商業地域,80,400,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,白金,76000000,,,50,,ほぼ長方形,5.1,80,2003年,木造,住宅,その他,北,区道,5,準工業地域,60,300,2023年第1四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,白金,170000000,,,80,,長方形,4.1,110,2011年,木造,住宅,住宅,北,区道,4,第１種中高層住居専用地域,60,300,2023年第1四半期,,
不動産取引価格情報,宅地(土地),住宅地,13103,東京都,港区,白金,150000000,6900000,,75,2100000,ほぼ長方形,5.1,, ,,,住宅,北,私道,8,第１種中高層住居専用地域,60,300,2023年第1四半期,,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,74000000,,２ＬＤＫ,55,,,,,2001年,ＲＣ,住宅,住宅,,,,準工業地域,60,300,2023年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,13103,東京都,港区,白金,180000000,,３ＬＤＫ,80,,,,,2015年,,,住宅,,,,第１種住居地域,60,400,2023年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,13103,東京都,港区,白金,110000000,,,55,,不整形,4.2,80,2010年,木造,住宅,住宅,北東,区道,4,第１種中高層住居専用地域,60,300,2023年第1四半期,,
