PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,衣笠東開キ町,6300000,,２ＤＫ,25,,,,,1994年,ＲＣ,,住宅,,,,第１種中高層住居専用地域,60,200,2018年第3四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,3800000,,,85,,長方形,5,15,2002年,木造,事務所,,北西,市道,7.2,準工業地域,60,200,2018年第2四半期,,関係者間取引
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,大北山原谷乾町,2500000,,,65,,ほぼ長方形,4.5,75,1978年,木造,住宅、工場,倉庫,接面道路無,,,準工業地域,60,200,2018年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,上賀茂津ノ国町,13000000,,,95,,ほぼ長方形,6.2,65,1977年,,,住宅,西,市道,8.2,第１種中高層住居専用地域,60,200,2018年第2四半期,,
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,衣笠東開キ町,5000000,,,25,,,,,1994年,ＲＣ,,,,,,第１種中高層住居専用地域,60,200,2018年第2四半期,,
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,衣笠東開キ町,7500000,,２Ｋ,25,,,,,1994年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60,200,2018年第2四半期,未改装,
不動産取引価格情報,中古マンション等,,26101,京都府,京都市北区,衣笠東開キ町,5400000,,,25,,,,,1994年,ＲＣ,,,,,,第１種中高層住居専用地域,60,200,2018年第2四半期,,
不動産取引価格情報,宅地(土地と建物),住宅地,26101,京都府,京都市北区,小山上初音町,17000000,,,55,,ほぼ長方形,,60, ,,,事務所,東,市道,10.8,近隣商業地域,80,200,2018年第2四半期,,
不動産取引価格情報,宅地(土地),住宅地,26101,京都府,京都市北区,小山西上総町,160000000,1600000,,330,490000,ほぼ長方形,16,, ,,,住宅,南,市道,6,第１種低層住居専用地域,60,100,2018年第2四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26101,京都府,京都市北区,小山西上総町,140000000,,,220,,ほぼ台形,12,240,1974年,木造,住宅,,南東,市道,27,近隣商業地域,80,300,2018年第2四半期,,
