PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks
不動産取引価格情報,中古マンション等,,26105,京都府,京都市東山区,粟田学区,120000000,,３ＬＤＫ,90,,,,,2006年,ＲＣ,住宅,住宅,,,,第２種住居地域,60,200,2017年第1四半期,未改装,
不動産取引価格情報,宅地(土地と建物),住宅地,26105,京都府,京都市東山区,一橋学区,10000000,,,45,,ほぼ長方形,4.1,40, ,木造,住宅,住宅,南,私道,2,第２種住居地域,60,200,2017年第1四半期,,私道を含む取引
不動産取引価格情報,宅地(土地と建物),住宅地,26105,京都府,京都市東山区,一橋学区,39000000,,,240,,不整形,7.5,165, ,木造,住宅,,南,市道,8.2,第１種中高層住居専用地域,60,200,2017年第1四半期,,
不動産取引価格情報,中古マンション等,,26105,京都府,京都市東山区,粟田学区,9800000,,１Ｋ,20,,,,,2002年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2017年第1四半期,未改装,
不動産取引価格情報,宅地(土地),住宅地,26105,京都府,京都市東山区,粟田学区,130000000,2300000,,180,700000,長方形,6,, ,,,その他,南,市道,4.6,商業地域,80,400,2017年第1四半期,,
不動産取引価格情報,中古マンション等,,26105,京都府,京都市東山区,粟田学区,12000000,,１Ｋ,20,,,,,2006年,ＲＣ,住宅,その他,,,,商業地域,80,400,2017年第1四半期,未改装,調停・競売等
不動産取引価格情報,宅地(土地と建物),住宅地,26105,京都府,京都市東山区,粟田学区,23000000,,,40,,長方形,3.8,50,1986年,木造,住宅,住宅,東,道路,2.1,第２種住居地域,60,200,2017年第1四半期,,
不動産取引価格情報,宅地(土地と建物),商業地,26105,京都府,京都市東山区,粟田学区,75000000,,,130,,長方形,7,250,1981年,鉄骨造,店舗,店舗,南,府道,22,近隣商業地域,80,300,2017年第1四半期,,
不動産取引価格情報,中古マンション等,,26105,京都府,京都市東山区,粟田学区,26000000,,２ＬＤＫ,55,,,,,1998年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2017年第1四半期,改装済み,
不動産取引価格情報,中古マンション等,,26105,京都府,京都市東山区,粟田学区,10000000,,１Ｋ,20,,,,,2002年,ＲＣ,住宅,住宅,,,,近隣商業地域,80,300,2017年第1四半期,未改装,
